check accurate 6/1/24,Interview,Manual Key,Stall Location,Stall Name TH,Stall Name EN,Stall's profile pic,CDN profile pic,Stall food type TH,Stall food type EN,Working Day,Open time,Close time,Halal,Phone number (optional),Line ID (optional),"Other Details (optional) (Ex.Halal,Vegan)",Direct Link
TRUE,FALSE,TRUE,01,อี๊ด ข้าวแกงแสนรัก Rice Dishes,Eat Khao Keang Saen Rak (Rice A La Carte),profile_S01,https://res.cloudinary.com/dejzapat4/image/upload/v1739719994/profile_S01_qok3pn.jpg,ข้าวราดแกง,Rice & Curry,,6:00,17:30,FALSE,**********,,,
TRUE,FALSE,TRUE,02,น้องพิม อาหารตามสั่ง,Nong Pim A LA CARTE (Stir Fry),profile_S02,https://res.cloudinary.com/dejzapat4/image/upload/v1739720009/profile_S02_plyx6q.jpg,อาหารตามสั่ง,Cook-to-order,,,,FALSE,,,,
TRUE,FALSE,TRUE,03,ก๋วยเตี๋ยวเรือยกซด,Yoksod Noodle,profile_S03,https://res.cloudinary.com/dejzapat4/image/upload/v1739719987/profile_S03_mkzjm3.jpg,ก๋วยเตี๋ยว,Noodles,,8:00,18:00,FALSE,**********,,,
TRUE,FALSE,TRUE,04,บล็อกแคลอรี่,Block Calories (Clean Food),profile_S04,https://res.cloudinary.com/dejzapat4/image/upload/v1739719991/profile_S04_unonbb.jpg,อาหารสุขภาพ,Healthy,,6:00,19:00,FALSE,**********,,,
TRUE,FALSE,TRUE,05,ป้าเฉื่อย อาหารตามสั่ง,Pa Chuai (One-Dish Meals),profile_S05,https://res.cloudinary.com/dejzapat4/image/upload/v1739719993/profile_S05_aixazm.jpg,อาหารตามสั่ง,Cook-to-order,,,,FALSE,,,,
TRUE,FALSE,TRUE,06,หวานหมู,WHANN MOO,profile_S06,https://res.cloudinary.com/dejzapat4/image/upload/v1739720001/profile_S06_wqu2sc.jpg,อาหารไทย,Thai,,,,FALSE,,,,
TRUE,FALSE,TRUE,07,พี่แอน อาหารตามสั่ง,P'Ann One-Dish Meals,profile_S07,https://res.cloudinary.com/dejzapat4/image/upload/v1739719999/profile_S07_acgnqf.jpg,อาหารตามสั่ง,Cook-to-order,,,,FALSE,,,,
TRUE,FALSE,TRUE,08,Eat 8 Ate,Eat 8 Ate,profile_S08,https://res.cloudinary.com/dejzapat4/image/upload/v1739720007/profile_S08_c4nl90.jpg,อาหารญี่ปุ่น,Japanese,,,,FALSE,,,,
TRUE,FALSE,TRUE,09,บั๋นกัน ก๋วยจั๊บญวน,Banh Canh Vietnamese Soups&Noodles,profile_S09,https://res.cloudinary.com/dejzapat4/image/upload/v1739720001/profile_S09_xl5idh.jpg,อาหารเวียดนาม,Vietnamese ,,,,FALSE,,,,
TRUE,FALSE,TRUE,10,โหนกเฮง สเต็ก แอนด์ สปาเก็ตตี้,Nok Heng (Steak & Spaghetti),profile_S10,https://res.cloudinary.com/dejzapat4/image/upload/v1739720013/profile_S10_w5tgwf.jpg,อาหารตะวันตก,Western,,,,FALSE,,,,
TRUE,FALSE,TRUE,11,จิตรลดา ข้าวราดแกง,JITLADA (Rice A La Carte),profile_S11,https://res.cloudinary.com/dejzapat4/image/upload/v1739720003/profile_S11_xe1ebt.jpg,ข้าวราดแกง,Rice & Curry,,,,FALSE,,,,
TRUE,FALSE,TRUE,12,ราดหน้าเอ็มไพร์ (ชายโสด),Rad Na Empire (Sing Le Male),profile_S12,https://res.cloudinary.com/dejzapat4/image/upload/v1739720009/profile_S12_nmheh6.jpg,ก๋วยเตี๋ยวผัด,Stri-fried Noodles,,6:00,17:00,FALSE,**********,,,
TRUE,FALSE,TRUE,13,ไพลิน,Pilin,profile_S13,https://res.cloudinary.com/dejzapat4/image/upload/v1739720008/profile_S13_c7zkyf.jpg,ข้าวหน้า,Rice Bowl,,8:00,17:00,TRUE,-,,,
TRUE,FALSE,TRUE,14,พริกหอม,Prik Hom (One-Dish Meals),profile_S14,https://res.cloudinary.com/dejzapat4/image/upload/v1739720010/profile_S14_ibaxco.jpg,อาหารไทย,Thai,,6:00,14:00,FALSE,-,,,
TRUE,FALSE,TRUE,15,ครัวเปรี้ยวปาก,Priaw Pak Kitchen (One-Dish Meals),profile_S15,https://res.cloudinary.com/dejzapat4/image/upload/v1739720012/profile_S15_kaktgb.jpg,อาหารไทย,Thai,,6:00,19:00,FALSE,**********,,,
TRUE,FALSE,TRUE,16,หมูกรอบ ชวนชิม,Let's Try Crispy Pork,profile_S16,,อาหารตามสั่ง,Cook-to-order,,7:00,18:30,FALSE,-,,,
TRUE,FALSE,TRUE,17,ปิ๊ก ข้าวราดแกง,Pik (Rice A La Carte),profile_S17,,ข้าวราดแกง,Rice & Curry,,,,FALSE,,,,
TRUE,FALSE,TRUE,18,ต่ายผัดไทย KU,Tai Pad Thai KU (Stir-Fried Noodles),profile_S18,,ก๋วยเตี๋ยวผัด,Stri-fried Noodles,,6:00,17:00,FALSE,**********,,,
TRUE,FALSE,TRUE,19,แกงหม้อใหญ่,Gang Mor Yai (Halal Food),profile_S19,,ข้าวราดแกง,Rice & Curry,,,,FALSE,,,,
TRUE,FALSE,TRUE,20,ครัวไทยอีสาน,Kour Thai-Isan (Spicy Soup & Salad),profile_S20,,อาหารอีสาน,Isan Thai,,,,FALSE,,,,
TRUE,FALSE,TRUE,21,มีคุณ,Mee Khun,profile_S21,,อาหารเอเชีย,Japanese,,,,FALSE,,,,
TRUE,FALSE,TRUE,22,ไก่ทอดนาย ร.,Mr. Raw Fried Chicken (A La Carte),profile_S22,,อาหารจานด่วน,Fast Food,,,,FALSE,,,,
TRUE,FALSE,TRUE,23,วัวล้วนล้วน ไม่มีควายผสม,WUA LUAN LUAN,profile_S23,,เครื่องดื่ม,Beverages,,8:00,18:00,FALSE,**********,,,
TRUE,FALSE,TRUE,24,คุณชายไข่เจียว,Mr. Omlette,profile_S24,,อาหารไทย,Vietnamese ,,,,FALSE,,,,
TRUE,FALSE,TRUE,25,ข้าวเหนียวหมู คุณลัดดา,Ladda Pork with Sticky Rice,profile_S25,,อาหารจานด่วน,Fast Food,,,,FALSE,,,,
TRUE,FALSE,TRUE,26,เตยแก้ว,TOEYKAEW,profile_S26,,เครื่องดื่ม,Beverages,,,,FALSE,,,,
TRUE,FALSE,TRUE,27,เจ๊เล็ก ก๋วยเตี๋ยวต้มยำ,Je Lek Noodle Soup,profile_S27,,ก๋วยเตี๋ยว,Noodles,,,,FALSE,,,,
TRUE,FALSE,TRUE,28,แม่นิ่มอาหารเจ,MaeNim Vegetarian Food,profile_S28,,มังสวิรัติ,Vegetarian,,,,FALSE,,,,
TRUE,FALSE,TRUE,29,น้ำผลไม้ปั่น,Fruity Smoothie,profile_S29,,เครื่องดื่ม,Beverages,,,,FALSE,,,,
TRUE,FALSE,TRUE,30,ผลไม้ป้าสำเนียง,Pa Samniang (Fruit&Snack),profile_S30,,ผลไม้,Fruits,,,,FALSE,,,,
TRUE,FALSE,TRUE,31,ติ่มซำ เมืองตัง,Trang Dimsum,profile_S31,,ติ่มซำ,Dim Sum,,,,FALSE,,,,
TRUE,FALSE,TRUE,32,น้าฉิม เบอร์ 32,Na Chim No.32,profile_S32,,ข้าวหน้า,Rice Bowl,,,,FALSE,,,,
TRUE,FALSE,TRUE,33,รอบีอะห์ ก๋วยเตี๋ยว และอาหารอิสลาม,Robiah Noodle and Halal Food,profile_S33,,ก๋วยเตี๋ยว,Noodles,,,,FALSE,,,,
TRUE,FALSE,TRUE,34,ก๋วยเตี๋ยว พิมพา,Pimpa Noodles,profile_S34,,ก๋วยเตี๋ยว,Noodles,,,,FALSE,,,,
TRUE,FALSE,TRUE,35,ต้องมนต์ขนมหวาน,TongMon Sweets,profile_S35,,ของหวาน,Desserts,,,,FALSE,,,,
TRUE,FALSE,TRUE,36,กบสมูทตี้,Kob Smoothie,profile_S36,,เครื่องดื่ม,Beverages,,,,FALSE,,,,
TRUE,FALSE,TRUE,37,ขนมเบื้องป้าแตน ม.เกษตร,Pa Tan Thai's Crispy Crape at KU,profile_S37,,ของว่าง,Snacks,,,,FALSE,,,,
